Algorithm,Time,Error,MemoryKB,MemoryMB
bfgs,224,1.79769e+308,16384,16
lbfgsb,104,1.79769e+308,131072,128
dfp,156,1.79769e+308,32768,32
dfp,157,1.79769e+308,114688,112
lbfgsb,104,1.79769e+308,98304,96
bfgs,225,1.79769e+308,16384,16
bfgs,225,1.79769e+308,98304,96
lbfgsb,104,1.79769e+308,65536,64
dfp,157,1.79769e+308,32768,32
lbfgs,196,1.79769e+308,131072,128
lbfgs,195,1.79769e+308,278528,272
lbfgs,195,1.79769e+308,262144,256
